Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides 16plex_N	Razor + unique peptides 16plex_N	Unique peptides 16plex_N	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Fraction average	Fraction 1	Fraction 2	Fraction 3	Fraction 4	Fraction 5	Fraction 6	Fraction 7	Fraction 8	Fraction 9	Fraction 10	Fraction 11	Fraction 12	Q-value	Score	Identification type 16plex_N	Reporter intensity corrected 1 16plex_N	Reporter intensity corrected 2 16plex_N	Reporter intensity corrected 3 16plex_N	Reporter intensity corrected 4 16plex_N	Reporter intensity corrected 5 16plex_N	Reporter intensity corrected 6 16plex_N	Reporter intensity corrected 7 16plex_N	Reporter intensity corrected 8 16plex_N	Reporter intensity corrected 9 16plex_N	Reporter intensity corrected 10 16plex_N	Reporter intensity corrected 11 16plex_N	Reporter intensity corrected 12 16plex_N	Reporter intensity corrected 13 16plex_N	Reporter intensity corrected 14 16plex_N	Reporter intensity corrected 15 16plex_N	Reporter intensity corrected 16 16plex_N	Reporter intensity 1 16plex_N	Reporter intensity 2 16plex_N	Reporter intensity 3 16plex_N	Reporter intensity 4 16plex_N	Reporter intensity 5 16plex_N	Reporter intensity 6 16plex_N	Reporter intensity 7 16plex_N	Reporter intensity 8 16plex_N	Reporter intensity 9 16plex_N	Reporter intensity 10 16plex_N	Reporter intensity 11 16plex_N	Reporter intensity 12 16plex_N	Reporter intensity 13 16plex_N	Reporter intensity 14 16plex_N	Reporter intensity 15 16plex_N	Reporter intensity 16 16plex_N	Reporter intensity count 1 16plex_N	Reporter intensity count 2 16plex_N	Reporter intensity count 3 16plex_N	Reporter intensity count 4 16plex_N	Reporter intensity count 5 16plex_N	Reporter intensity count 6 16plex_N	Reporter intensity count 7 16plex_N	Reporter intensity count 8 16plex_N	Reporter intensity count 9 16plex_N	Reporter intensity count 10 16plex_N	Reporter intensity count 11 16plex_N	Reporter intensity count 12 16plex_N	Reporter intensity count 13 16plex_N	Reporter intensity count 14 16plex_N	Reporter intensity count 15 16plex_N	Reporter intensity count 16 16plex_N	Sequence coverage 16plex_N [%]	Intensity	Intensity 16plex_N	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Phospho (STY) site IDs	Oxidation (M) site positions	Phospho (STY) site positions	Taxonomy IDs
YBR078W	YBR078W	6	6	6	sp|YBR078W|ECM33_YEAST NCSL01000019.1 34483-36099 ORF Verified GPI-anchored protein of unknown function; possible role in apical bud growth; GPI-anchoring on the plasma membrane crucial to function; phosphorylated in mitochondria; similar to Sps2p; ECM33 h	1	6	6	6	6	6	6	11.4	11.4	11.4	43.858	429	429	7.82	1			1	2	1	3	1	2	2	3	1	0	127.81	By MS/MS	3226100	3776400	3099200	2819500	3573300	3481400	4030800	2667000	2521600	3739800	2862700	4255000	3571400	3521100	3166900	4255600	3226100	3776400	3099200	2819500	3573300	3481400	4030800	2667000	2521600	3739800	2862700	4255000	3571400	3521100	3166900	4255600	7	8	8	7	9	8	8	8	7	9	8	9	8	7	9	8	11.4	26186000000	26186000000	12				219	13563;14249;16780;28425;28507;29248	True;True;True;True;True;True	14016;14718;17331;29408;29490;30267	23650;24740;24741;24742;29119;29120;49517;49518;49519;49656;49657;49658;49659;49660;51087;51088;51089	20675;21656;21657;25431;43202;43203;43204;43329;43330;44537;44538;44539	20675;21657;25431;43204;43329;44539					-1
YBR079C	YBR079C	36	36	36	sp|YBR079C|RPG1_YEAST NCSL01000019.1 30943-33846 ORF Verified eIF3a subunit of the eukaryotic translation initiation factor 3 (eIF3); subunit of the core complex of eIF3; essential for translation; part of a Prt1p-Rpg1p-Nip1p subcomplex that stimulates bin	1	36	36	36	36	36	36	43.8	43.8	43.8	110.61	967	967	6	6	2	7	7	5			3	8	4	4	2	0	323.31	By MS/MS	6717500	6490300	4008900	4013400	5053200	5952000	6497200	4850000	5631500	5685100	6365500	6366100	5904100	6417400	4727600	8921700	6717500	6490300	4008900	4013400	5053200	5952000	6497200	4850000	5631500	5685100	6365500	6366100	5904100	6417400	4727600	8921700	35	35	35	35	38	39	38	37	37	37	38	39	36	36	34	38	43.8	8943800000	8943800000	46				220	275;1796;2127;2268;2269;4343;4469;4510;5139;5677;6319;6582;7246;8051;10279;13104;14192;14596;14760;15460;15809;19757;19825;20144;20908;21093;21579;21659;22046;22073;23551;25774;27841;28386;29704;30181	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	284;1890;2222;2363;2364;4504;4632;4673;5324;5879;6536;6802;7483;8321;10653;13541;14659;15080;15251;15968;16326;20480;20562;20888;21676;21864;22364;22446;22841;22868;24367;26665;28802;29368;30732;31233	512;3449;4079;4332;4333;7802;7803;7999;8066;9102;9103;9965;11078;11505;12596;12597;12598;12599;14088;14089;18272;22920;24642;25392;25698;25699;26896;27457;27458;34426;34550;35041;36318;36319;36628;37477;37478;37607;38227;38274;38275;40785;40786;44702;48409;49446;51869;52823	442;2932;3459;3685;3686;6780;6958;7012;7943;8720;9710;10072;11002;11003;12285;12286;15934;20014;21564;22224;22484;22485;23539;24026;24027;30037;30154;30603;31702;31703;31704;31972;32733;32734;32845;33400;33441;33442;35594;35595;39025;39026;42245;43144;45208;46018	442;2932;3459;3685;3686;6780;6958;7012;7943;8720;9710;10072;11003;12285;15934;20014;21564;22224;22485;23539;24027;30037;30154;30603;31703;31972;32733;32845;33400;33441;35595;39026;42245;43144;45208;46018	79		756		-1
YBR080C	YBR080C	36	36	35	sp|YBR080C|SEC18_YEAST NCSL01000019.1 28330-30606 ORF Verified AAA ATPase and SNARE disassembly chaperone; required for vesicular transport between ER and Golgi, the priming step in homotypic vacuole fusion, autophagy, and protein secretion; releases Sec	1	36	36	35	35	35	35	45.9	45.9	44.7	84.023	758	758	6.19	4	4	3	5	5	5	4	7	2	2	5	2	0	300.74	By MS/MS	7827000	9802800	6489100	6196600	7454500	8159700	8275700	6398300	7087700	8679700	9653300	9670400	9642200	10468000	6401500	12132000	7827000	9802800	6489100	6196600	7454500	8159700	8275700	6398300	7087700	8679700	9653300	9670400	9642200	10468000	6401500	12132000	26	32	31	31	31	36	32	30	33	35	34	32	37	36	32	30	44.7	6801400000	6801400000	41				221	2470;2471;3122;3444;4256;5219;7096;7670;8257;8495;9125;9666;10701;12549;13256;13257;15138;15492;16692;17944;17945;18065;18553;19134;19569;20368;21832;22884;22945;22946;25018;25809;26869;26870;27822;29788	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	2577;2578;3243;3571;4413;5409;7329;7926;8532;8775;9443;10014;11083;12976;13696;13697;15637;16002;16003;17241;18539;18540;19230;19846;20289;21125;22625;23690;23755;23756;25889;26703;27790;27791;28783;30821	4812;4813;5899;6411;7685;9229;12347;12348;13435;14459;14881;14882;14883;16114;17171;18967;22022;23156;23157;26334;26948;26949;26950;26951;26952;28980;28981;31241;31242;32412;32413;33451;34130;35414;37874;39593;39730;39731;39732;39733;43410;43411;43412;44764;46621;46622;48375;52026	4083;4084;5044;5491;6662;8063;10793;10794;11703;12594;12953;12954;12955;14027;14943;16534;19194;20225;20226;23042;23587;23588;23589;25307;25308;27217;27218;27219;28258;29173;29783;30933;33082;34552;34667;34668;34669;37876;37877;39086;40701;40702;42213;45340	4083;4084;5044;5491;6662;8063;10793;11703;12594;12953;14027;14943;16534;19194;20225;20226;23042;23588;25307;27217;27219;28258;29173;29783;30933;33082;34552;34667;34669;37877;39086;40701;40702;42213;45340	80	24	597	595	-1
YBR081C	YBR081C	5	5	5	sp|YBR081C|SPT7_YEAST NCSL01000019.1 23969-27967 ORF Verified Subunit of the SAGA transcriptional regulatory complex; involved in proper assembly of the complex; also present as a C-terminally truncated form in the SLIK/SALSA transcriptional regulatory com	1	5	5	5	5	5	5	5.3	5.3	5.3	152.51	1332	1332	8.67						1		1	2	2			0	11.55	By MS/MS	111380	172550	110040	106770	128430	113200	197840	106550	90635	145100	91897	142200	193040	127350	130720	209860	111380	172550	110040	106770	128430	113200	197840	106550	90635	145100	91897	142200	193040	127350	130720	209860	3	3	3	4	3	4	4	3	3	3	3	5	4	3	4	5	5.3	567810000	567810000	5				222	6684;8013;13312;18445;24180	True;True;True;True;True	6907;8280;13757;19113;25020	11679;14002;23248;23249;32234;41923	10218;12217;20307;28093;36574	10218;12217;20307;28093;36574					-1
YBR082C	YBR082C	2	1	1	sp|YBR082C|UBC4_YEAST NCSL01000019.1 22053-22594 ORF Verified Ubiquitin-conjugating enzyme (E2); key E2 partner with Ubc1p for the anaphase-promoting complex (APC); mediates degradation of abnormal or excess proteins, including calmodulin and histone H3; r	1	2	1	1	2	1	1	19.6	19.6	19.6	16.456	148	148	1	1												0	5.8386	By MS/MS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19.6	3892300	3892300	1				223	3704;12675	False;True	3844;13103	6828;6829;6830;6831;22229	5877;5878;5879;19380	5877;19380					-1
YBR084W	YBR084W	23	22	22	sp|YBR084W|MIS1_YEAST NCSL01000019.1 15240-18167 ORF Verified Mitochondrial C1-tetrahydrofolate synthase; involved in interconversion between different oxidation states of tetrahydrofolate (THF); provides activities of formyl-THF synthetase, methenyl-THF c	1	23	22	22	23	22	22	26.2	25	25	106.16	975	975	7.25	1	3	1	2	2	3	1	4	1	4	3	3	0	159.31	By MS/MS	3235500	3652700	2256100	2744500	3434500	2995400	3498700	2809300	2132500	3461800	3390800	3085400	3050700	3154600	2617200	4341500	3235500	3652700	2256100	2744500	3434500	2995400	3498700	2809300	2132500	3461800	3390800	3085400	3050700	3154600	2617200	4341500	21	21	20	20	23	21	21	20	19	19	21	20	20	22	19	21	26.2	3439300000	3439300000	25				224	1550;1985;3773;4686;7601;7897;9852;11001;12155;15788;16319;16320;16463;17523;18058;18872;21049;21517;23471;24925;24961;30021;31459	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;False;True;True;True;True;True	1628;2080;3914;4856;7855;8161;10209;11389;12577;16305;16855;16856;17004;18088;18662;19576;21819;22302;24285;25795;25831;31066;32548	2989;3835;6932;8337;13284;13805;17503;17504;17505;19450;21372;21373;27427;28313;28314;28315;28598;30410;31431;33027;36558;37379;37380;37381;40607;40608;43265;43266;43328;52519;55161	2526;3234;5969;7252;11591;12045;15236;16949;18626;24001;24750;24751;24969;26504;27378;28784;31903;32642;32643;35438;35439;35440;37747;37748;37799;45761;48040	2526;3234;5969;7252;11591;12045;15236;16949;18626;24001;24750;24751;24969;26504;27378;28784;31903;32643;35438;37747;37799;45761;48040					-1
YBR085C-A	YBR085C-A	4	4	4	sp|YBR085C-A|dubious56_YEAST NCSL01000019.1 10303-10560 ORF Verified Protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and to the nucleus; protein abundance increases in response to DNA replication stres	1	4	4	4	4	4	4	78.8	78.8	78.8	9.4314	85	85	5.14			1	1	3		2						0	15.408	By MS/MS	2310400	1638700	419860	293480	399980	760550	738350	474700	591730	498180	524190	396790	205090	507730	225440	1911100	2310400	1638700	419860	293480	399980	760550	738350	474700	591730	498180	524190	396790	205090	507730	225440	1911100	5	5	4	5	4	5	5	5	5	5	5	5	3	4	4	5	78.8	736710000	736710000	5				225	3113;4046;13746;21475	True;True;True;True	3233;4198;14203;22259	5879;7357;7358;7359;23933;37291;37292	5024;6360;6361;6362;20927;32570;32571	5024;6360;20927;32571		25		18	-1
YBR086C	YBR086C	13	13	13	sp|YBR086C|IST2_YEAST NCSL01000019.1 6430-9267 ORF Verified Cortical ER protein involved in ER-plasma membrane tethering; one of 6 proteins (Ist2p, Scs2p, Scs22p, Tcb1p, Tcb2p, Tcb3p) that connect ER to the plasma membrane (PM) and regulate PM phosphatidyl	1	13	13	13	13	13	13	18.3	18.3	18.3	105.78	945	945	6.47	1	1	1		4	1	1	1	2	2		1	0	107.24	By MS/MS	1607400	1234000	1004900	820600	1019800	1295600	1652400	1234400	1246500	1087300	1308600	1100200	1159600	1108800	512710	2324800	1607400	1234000	1004900	820600	1019800	1295600	1652400	1234400	1246500	1087300	1308600	1100200	1159600	1108800	512710	2324800	11	11	7	9	9	9	11	9	10	7	10	10	11	8	7	11	18.3	1889800000	1889800000	13				226	1855;2972;10123;11836;13780;16007;22001;24772;27473;29349;29649;31323;31324	True;True;True;True;True;True;True;True;True;True;True;True;True	1949;3091;10492;12251;14237;16532;22796;25636;28419;30370;30371;30677;32408;32409	3577;5653;17985;20860;23983;27781;38161;42945;47655;47656;51264;51265;51784;54913;54914	3034;4829;15683;18184;18185;20972;24307;33334;37472;41592;44698;44699;45134;47819;47820;47821	3034;4829;15683;18184;20972;24307;33334;37472;41592;44699;45134;47819;47821		26;508;509		712;715;729	-1
YBR087W	YBR087W	5	5	5	sp|YBR087W|RFC5_YEAST NCSL01000019.1 4643-5707 ORF Verified Subunit of heteropentameric Replication factor C (RF-C); RF-C is a DNA binding protein and ATPase that acts as a clamp loader of the proliferating cell nuclear antigen (PCNA) processivity factor f	1	5	5	5	5	5	5	24	24	24	39.941	354	354	5.67		1	1		1	1			2				0	38.27	By MS/MS	256990	278530	242690	160920	182890	215150	278880	148750	208690	238160	293920	250340	245090	218090	186020	321880	256990	278530	242690	160920	182890	215150	278880	148750	208690	238160	293920	250340	245090	218090	186020	321880	5	4	5	4	4	5	6	3	3	6	5	5	3	4	4	6	24	165730000	165730000	6				227	2791;2817;5067;15418;24124	True;True;True;True;True	2905;2931;5243;15925;24961	5365;5366;5396;8956;26818;41806	4573;4574;4602;7807;23477;36483	4573;4602;7807;23477;36483					-1
YBR088C	YBR088C	9	9	9	sp|YBR088C|POL30_YEAST NCSL01000019.1 3707-4483 ORF Verified Proliferating cell nuclear antigen (PCNA); functions as the sliding replication clamp for DNA polymerase delta; may function as a docking site for other proteins required for mitotic and meiotic 	1	9	9	9	9	9	9	33.7	33.7	33.7	28.916	258	258	8.81	1	1					2	1	3	2	3	3	0	30.719	By MS/MS	5482300	5593600	4963500	4406300	3795700	6116000	5665500	4181700	4342400	4941300	5729500	5646400	4680800	4801800	3130500	7413300	5482300	5593600	4963500	4406300	3795700	6116000	5665500	4181700	4342400	4941300	5729500	5646400	4680800	4801800	3130500	7413300	15	16	16	15	16	16	16	13	16	16	16	16	15	16	15	16	33.7	3408900000	3408900000	16				228	2654;3530;6118;6119;16188;17140;18273;23397;31001	True;True;True;True;True;True;True;True;True	2766;3660;3661;6327;6328;16717;17701;18912;24212;32074	5158;5159;6542;6543;10745;10746;10747;10748;28117;29743;29744;31879;40498;40499;54339;54340	4379;4380;5612;5613;9416;9417;9418;9419;24571;25946;25947;27768;35335;35336;47328;47329	4379;5612;9416;9419;24571;25947;27768;35335;47329	81		161		-1
YBR089C-A	YBR089C-A	11	11	9	sp|YBR089C-A|NHP6B_YEAST NCSL01000019.1 2985-3284 ORF Verified High-mobility group (HMG) protein; binds to and remodels nucleosomes; involved in recruiting FACT and other chromatin remodelling complexes to the chromosomes; functionally redundant with Nhp6A	1	11	11	9	11	11	9	65.7	65.7	57.6	11.448	99	99	4.47	3	2	5	1	3	2		1				2	0	164.44	By MS/MS	736530	1149300	834470	834520	1190400	1507100	1312500	1375100	1034600	1558800	1506600	1156800	1869300	1429500	1084500	1686000	736530	1149300	834470	834520	1190400	1507100	1312500	1375100	1034600	1558800	1506600	1156800	1869300	1429500	1084500	1686000	7	9	7	8	7	11	10	9	8	10	10	10	10	9	8	9	65.7	9059100000	9059100000	14				229	1412;1413;5107;8579;8580;12946;13356;22199;23177;30662;30663	True;True;True;True;True;True;True;True;True;True;True	1475;1476;5285;8865;8866;13380;13801;22995;23990;31726;31727	2714;2715;2716;2717;2718;2719;2720;9038;9039;15035;15036;22669;23306;38458;40117;40118;53672;53673;53674	2285;2286;2287;2288;7885;13082;13083;19787;20367;33596;34996;34997;46756;46757	2285;2288;7885;13082;13083;19787;20367;33596;34997;46756;46757					-1
YBR091C	YBR091C	3	3	3	sp|YBR091C|TIM12_YEAST NCSL01000019.1 1993-2322 ORF Verified Essential protein of the inner mitochondrial membrane; peripherally localized; component of the TIM22 complex, which is a twin-pore translocase that mediates insertion of numerous multispanning i	1	3	3	3	3	3	3	35.8	35.8	35.8	12.284	109	109	7		1	1					1	1	2			0	17.291	By MS/MS	21165	51091	66195	33818	51555	75698	30719	22247	42070	41314	65305	47777	53923	0	52569	41497	21165	51091	66195	33818	51555	75698	30719	22247	42070	41314	65305	47777	53923	0	52569	41497	1	3	1	1	1	2	1	1	1	1	2	1	1	0	1	1	35.8	458220000	458220000	5				230	2724;7839;23259	True;True;True	2837;8100;24073	5268;13708;40263;40264;40265;40266	4483;11954;35126;35127;35128	4483;11954;35126					-1
YBR094W	YBR094W	15	15	15	sp|YBR094W|PBY1_YEAST NCSL01000025.1 2275-4536 ORF Verified Putative tubulin tyrosine ligase associated with P-bodies; may have a role in mRNA metabolism; yeast knockout collection strain identified as a pby1 null mutant is actually wild-type for PBY1 and 	1	15	15	15	15	15	15	27.4	27.4	27.4	86.338	753	753	5.05	3	3	2	2	2	1	1	1	3	2			0	86.609	By MS/MS	1519300	1514200	816140	813010	818810	1125300	1407400	876680	988350	1125800	1316000	1371400	1111800	1218900	659540	2190000	1519300	1514200	816140	813010	818810	1125300	1407400	876680	988350	1125800	1316000	1371400	1111800	1218900	659540	2190000	14	17	15	15	14	16	17	15	16	16	15	18	17	17	12	17	27.4	1161000000	1161000000	20				231	716;9431;9718;12402;15796;17250;19493;19601;19728;20391;27708;28081;28521;28922;30150	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	749;9769;10070;12825;16313;17813;20212;20321;20451;21150;28664;29053;29504;29923;31199	1386;16731;17263;21752;27436;27437;29940;34022;34023;34187;34386;35451;35452;48131;48132;48874;48875;49685;50471;52758	1170;14575;15028;15029;18963;24009;26110;29682;29683;29684;29828;30003;30965;30966;41997;42650;43353;44009;44010;45964	1170;14575;15029;18963;24009;26110;29683;29828;30003;30965;41997;42650;43353;44009;45964					-1
YBR095C	YBR095C	6	6	6	sp|YBR095C|RXT2_YEAST NCSL01000025.1 4643-5935 ORF Verified Component of the histone deacetylase Rpd3L complex; possibly involved in cell fusion and invasive growth; relocalizes to the cytosol in response to hypoxia GN=RXT2 PE=1 SV=1	1	6	6	6	6	6	6	18.8	18.8	18.8	48.598	430	430	6.86				2	1		1	1	1		1		0	140.72	By MS/MS	58450	67738	44721	59191	28077	53142	55473	49450	54492	73968	75724	82650	54862	79011	39957	70116	58450	67738	44721	59191	28077	53142	55473	49450	54492	73968	75724	82650	54862	79011	39957	70116	4	4	4	5	3	4	4	4	5	5	4	6	4	5	3	4	18.8	305690000	305690000	7				232	4587;5856;8472;9391;15551;16063	True;True;True;True;True;True	4752;6060;8752;9727;16064;16588	8186;8187;10242;14840;16645;27044;27893	7119;7120;8974;12915;14498;23672;24389	7119;8974;12915;14498;23672;24389					-1
YBR096W	YBR096W	3	3	3	sp|YBR096W|dubious58_YEAST NCSL01000025.1 6258-6950 ORF Uncharacterized Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the ER GN=dubious58 PE=1 SV=1	1	3	3	3	3	3	3	10.4	10.4	10.4	27.092	230	230	4.75		1	2								1		0	5.2814	By MS/MS	336160	287880	410130	272230	122390	62551	141990	583100	307900	92120	108200	86826	728100	126690	60415	589600	336160	287880	410130	272230	122390	62551	141990	583100	307900	92120	108200	86826	728100	126690	60415	589600	2	2	3	3	2	2	2	3	3	2	2	2	3	2	1	2	10.4	646610000	646610000	3				233	2962;12042;26397	True;True;True	3081;12461;27304	5638;5639;21186;45829	4816;18462;40013	4816;18462;40013					-1
YBR101C	YBR101C	4	4	4	sp|YBR101C|FES1_YEAST NCSL01000025.1 14057-14929 ORF Verified Hsp70 (Ssa1p) nucleotide exchange factor; required for the release of misfolded proteins from the Hsp70 system to the Ub-proteasome machinery for destruction; cytosolic homolog of Sil1p, which i	1	4	4	4	4	4	4	25.9	25.9	25.9	32.638	290	290	3.71		1	1	4	1								0	176.13	By MS/MS	386550	407000	217190	282820	401200	332200	384190	267220	245480	345330	293160	281020	200550	347620	112330	416610	386550	407000	217190	282820	401200	332200	384190	267220	245480	345330	293160	281020	200550	347620	112330	416610	5	6	5	5	6	5	6	5	6	6	6	6	4	7	2	5	25.9	635080000	635080000	7				234	23;5478;16056;16068	True;True;True;True	24;25;5676;16581;16594	38;39;40;9629;27881;27882;27900	32;33;34;8410;24380;24381;24395	33;8410;24380;24395	82		126		-1
YBR102C	YBR102C	7	7	7	sp|YBR102C|EXO84_YEAST NCSL01000025.1 15297-17558 ORF Verified Exocyst subunit with dual roles in exocytosis and spliceosome assembly; subunit of the the exocyst complex which mediates polarized targeting and tethering of post-Golgi secretory vesicles to a	1	7	7	7	7	7	7	10.9	10.9	10.9	85.58	753	753	5.86	1			1	3					1	1		0	16.307	By MS/MS	98777	116750	125760	71582	159220	161140	105870	84695	110960	129660	215160	151060	209550	127700	89927	172880	98777	116750	125760	71582	159220	161140	105870	84695	110960	129660	215160	151060	209550	127700	89927	172880	4	4	6	6	6	6	6	5	6	7	8	8	8	6	6	6	10.9	333820000	333820000	8				235	993;1582;2375;2376;7405;17126;22885	True;True;True;True;True;True;True	1039;1661;2475;2476;7649;17687;23691	1975;3054;4604;4605;12889;29717;39594	1652;2581;3908;3909;3910;11263;25924;34553	1652;2581;3908;3910;11263;25924;34553					-1
YBR106W	YBR106W	12	12	12	sp|YBR106W|PHO88_YEAST NCSL01000025.1 22896-23462 ORF Verified Probable membrane protein; involved in phosphate transport; role in the maturation of secretory proteins; pho88 pho86 double null mutant exhibits enhanced synthesis of repressible acid phosphat	1	12	12	12	12	12	12	52.1	52.1	52.1	21.137	188	188	4.48	4	3	3	7	7	1	1	2	2	1			0	73.057	By MS/MS	7647200	9598200	5307400	4500700	6236800	6543700	7750300	6252900	6102900	5278600	6923700	6700800	7215500	6320500	3823100	10481000	7647200	9598200	5307400	4500700	6236800	6543700	7750300	6252900	6102900	5278600	6923700	6700800	7215500	6320500	3823100	10481000	19	23	17	20	23	20	23	19	20	21	22	23	22	22	17	24	52.1	14335000000	14335000000	26				236	1738;4497;10814;12427;16817;16818;19003;22463;22807;31365;31425;31426	True;True;True;True;True;True;True;True;True;True;True;True	1827;1828;4660;11199;12850;17369;17370;19709;19710;23263;23264;23612;32451;32452;32513;32514	3327;3328;3329;8039;8040;8041;19157;19158;19159;21798;29181;29182;29183;33239;33240;33241;33242;33243;38884;38885;38886;39455;54978;54979;54980;54981;55089;55090;55091;55092;55093	2827;2828;2829;6994;16696;16697;16698;19002;25480;25481;28981;28982;28983;28984;33948;33949;33950;33951;34436;47879;47880;47978;47979;47980;47981;47982	2829;6994;16696;19002;25480;25481;28981;33948;34436;47880;47978;47980	83;84;85		63;121;162		-1
YBR108W;REV__YBR108W	YBR108W	11;1	11;1	11;1	sp|YBR108W|AIM3_YEAST NCSL01000025.1 25261-28008 ORF Verified Protein that inhibits barbed-end actin filament elongation; interacts with Rvs167p; null mutant is viable and displays elevated frequency of mitochondrial genome loss GN=AIM3 PE=1 SV=1	2	11	11	11	11	11	11	17	17	17	100.19	915	915;915	5.93	1	1	2		3	1	3	1	1	1	1		0	90.535	By MS/MS	1161200	1534500	1514800	1280600	1805200	1912500	1815700	1916900	1516600	2176700	1864600	2160000	1786000	1882000	1800000	2159600	1161200	1534500	1514800	1280600	1805200	1912500	1815700	1916900	1516600	2176700	1864600	2160000	1786000	1882000	1800000	2159600	8	10	9	10	11	12	11	11	9	11	10	11	12	13	9	10	17	2432100000	2432100000	14				237	671;2042;2603;4193;10044;10414;13378;20059;20409;23683;23988	True;True;True;True;True;True;True;True;True;True;True	701;2137;2714;4349;10409;10791;13823;20801;21168;24503;24819	1283;3920;5063;7596;17842;18497;18498;18499;23340;34918;34919;35479;41034;41035;41585	1079;3314;4300;6575;15557;16129;16130;20399;30490;30491;30989;30990;35809;36288	1079;3314;4300;6575;15557;16129;20399;30490;30989;35809;36288					-1;-1
YBR109C	YBR109C	8	8	8	sp|YBR109C|CMD1_YEAST NCSL01000025.1 28262-28705 ORF Verified Calmodulin; Ca2+ binding protein that regulates Ca2+ independent processes (mitosis, bud growth, actin organization, endocytosis, etc.) and Ca2+ dependent processes (stress-activated pathways), 	1	8	8	8	8	8	8	63.3	63.3	63.3	16.135	147	147	7.83	1	1				2	3	1	5	3	2		0	134.41	By MS/MS	5804300	6355900	1340000	1461800	2405800	3309800	4043600	2850200	2585300	2800900	3238500	3361400	2457300	3745900	1141300	6858400	5804300	6355900	1340000	1461800	2405800	3309800	4043600	2850200	2585300	2800900	3238500	3361400	2457300	3745900	1141300	6858400	9	12	9	9	10	12	12	11	10	11	11	12	10	11	7	12	63.3	4745500000	4745500000	12				238	4091;5765;10104;17228;24364;24365;24366;28297	True;True;True;True;True;True;True;True	4245;5969;10472;17790;25218;25219;25220;29274	7427;7428;10097;10098;10099;17947;17948;17949;29901;29902;42242;42243;42244;42245;42246;42247;49274;49275	6423;8844;8845;15650;15651;26078;26079;26080;36852;36853;36854;42991	6423;8845;15650;26078;36852;36853;36854;42991	86		125		-1
